27 27 1 27 134.747
55 55 1 28 143.94
83 83 1 28 142.796
112 112 1 29 146.606
132 132 1 20 99.6694
156 156 1 24 123.047
195 195 1 39 196.266
227 227 1 32 165.789
252 252 1 25 126.102
270 270 1 18 89.1323
289 289 1 19 95.569
322 322 1 33 170.282
346 346 1 24 123.318
373 373 1 27 134.277
391 391 1 18 89.036
410 410 1 19 95.6549
441 441 1 31 154.234
463 463 1 22 109.904
496 496 1 33 154.77
520 520 1 24 122.83
543 543 1 23 109.805
563 563 1 20 99.9152
594 594 1 31 152.051
626 626 1 32 156.159
655 655 1 29 147.613
702 702 1 47 234.556
723 723 1 21 105.955
755 755 1 32 156.852
774 774 1 19 94.3035
805 805 1 31 156.174
850 850 1 45 219.71
870 870 1 20 101.131
894 894 1 24 122.599
915 915 1 21 104.155
933 933 1 18 89.1591
967 967 1 34 162.731
1001 1001 1 34 170.411
1021 1021 1 20 99.689
1048 1048 1 27 133.599
1077 1077 1 29 139.214
1105 1105 1 28 138.338
1142 1142 1 37 160.312
1180 1180 1 38 192.246
1204 1204 1 24 123.102
1232 1232 1 28 137.955
1250 1250 1 18 88.929
1284 1284 1 34 176.894
1321 1321 1 37 185.241
1342 1342 1 21 105.85
1370 1370 1 28 144.313
1404 1404 1 34 173.337
1433 1433 1 29 136.6
1455 1455 1 22 107.889
1478 1478 1 23 117.327
1497 1497 1 19 94.472
1519 1519 1 22 111.255
1547 1547 1 28 143.927
1581 1581 1 34 165.924
1606 1606 1 25 127.493
1625 1625 1 19 95.1328
1654 1654 1 29 147.978
1673 1673 1 19 95.9258
1701 1701 1 28 136.818
1728 1728 1 27 136.212
1749 1749 1 21 105.786
1775 1775 1 26 130.908
1803 1803 1 28 135.286
1862 1862 1 59 268.931
1909 1909 1 47 241.741
1931 1931 1 22 110.758
1957 1957 1 26 131.39
1998 1998 1 41 213.173
2019 2019 1 21 106.246
2056 2056 1 37 186.229
2076 2076 1 20 101.255
2111 2111 1 35 181.337
2140 2140 1 29 147.934
2181 2181 1 41 198.639
2217 2217 1 36 184.016
2253 2253 1 36 184.957
2274 2274 1 21 101.402
2310 2310 1 36 183.47
2353 2353 1 43 216.249
2373 2373 1 20 99.3552
2423 2423 1 50 257.464
2472 2472 1 49 244.109
2492 2492 1 20 99.9583
2535 2535 1 43 208.595
2598 2598 1 63 311.942
2652 2652 1 54 270.549
2692 2692 1 40 187.859
2713 2713 1 21 106.75
2744 2744 1 31 159.49
2786 2786 1 42 215.014
2807 2807 1 21 105.298
2842 2842 1 35 172.515
2887 2887 1 45 207.857
2910 2910 1 23 117.229
2930 2930 1 20 98.8
2956 2956 1 26 127.599
2988 2988 1 32 161.796
3009 3009 1 21 104.63
3066 3066 1 57 276.426
3134 3134 1 68 367.768
3172 3172 1 38 188.81
3197 3197 1 25 121.68
3261 3261 1 64 330.912
3296 3296 1 35 174.11
3365 3365 1 69 344.445
3397 3397 1 32 164.67
3445 3445 1 48 240.159
3469 3469 1 24 120.944
3494 3494 1 25 128.289
3553 3553 1 59 302.12
3597 3597 1 44 225.5
3625 3625 1 28 139.954
3664 3664 1 39 186.218
3692 3692 1 28 141.809
3763 3763 1 71 366.477
3819 3819 1 56 265.638
3877 3877 1 58 276.695
3908 3908 1 31 155.459
3965 3965 1 57 291.545
3998 3998 1 33 169.857
4056 4056 1 58 310.552
4119 4119 1 63 302.708
4175 4175 1 56 300.952
4232 4232 1 57 272.89
4254 4254 1 22 111.012
4309 4309 1 55 292.95
4359 4359 1 50 245.953
4405 4405 1 46 223.514
4454 4454 1 49 251.16
4514 4514 1 60 289.111
4554 4554 1 40 195.984
4605 4605 1 51 271.703
4647 4647 1 42 210.304
4736 4736 1 89 424.325
4776 4776 1 40 199.5
4834 4834 1 58 288.095
4901 4901 1 67 327.027
4957 4957 1 56 295.124
5025 5025 1 68 345.848
5070 5070 1 45 221.01
5118 5118 1 48 229.981
5177 5177 1 59 306.677
5234 5234 1 57 274.581
5285 5285 1 51 249.098
5358 5358 1 73 345.698
5395 5395 1 37 191.623
5459 5459 1 64 335.03
5541 5541 1 82 427.151
5599 5599 1 58 302.593
5637 5637 1 38 192.026
5712 5712 1 75 363.576
5782 5782 1 70 340.311
5864 5864 1 82 369.006
5942 5942 1 78 403.897
6073 6073 1 131 625.365
6132 6132 1 59 304.092
6203 6203 1 71 370.706
6274 6274 1 71 355.157
6353 6353 1 79 378.025
6428 6428 1 75 381.818
6500 6500 1 72 366.617
6561 6561 1 61 328.42
6644 6644 1 83 423.231
6723 6723 1 79 401.395
6812 6812 1 89 433.269
6922 6922 1 110 564.576
6989 6989 1 67 344.316
7038 7038 1 49 242.289
7112 7112 1 74 331.859
7205 7205 1 93 464.738
7314 7314 1 109 543.296
7372 7372 1 58 311.506
7462 7462 1 90 435.757
7544 7544 1 82 420.381
7617 7617 1 73 371.728
7695 7695 1 78 410.909
7781 7781 1 86 441.346
7854 7854 1 73 356.65
7952 7952 1 98 499.86
8016 8016 1 64 324.45
8053 8053 1 37 180.791
8109 8109 1 56 274.114
8196 8196 1 87 432.699
8280 8280 1 84 378.951
8376 8376 1 96 477.979
